MJD,mag,magunc,filter
59113.3979,21.2052,0.2531,ZTF-g
59114.3734,18.6539,0.0601,ZTF-i
59116.2681,21.2175,0.2543,ZTF-g
59117.2936,21.3427,0.2667,ZTF-g
59118.3040,19.8871,0.1066,ZTF-r
59121.2534,18.7184,0.0632,ZTF-i
59124.2931,19.7794,0.1393,ZTF-r
59125.3326,19.8232,0.1439,ZTF-r
59125.3496,18.6689,0.0608,ZTF-i
59126.3482,19.6393,0.1255,ZTF-r
59129.2415,19.8215,0.1437,ZTF-r
59134.2667,21.7204,0.3041,ZTF-g
59134.3105,19.7662,0.1380,ZTF-r
59135.3589,18.7315,0.0639,ZTF-i
59136.2948,18.6754,0.0611,ZTF-i
59137.2959,18.6949,0.0621,ZTF-i
59138.2429,21.2995,0.2624,ZTF-g
59139.3537,18.7399,0.0643,ZTF-i
59140.2876,21.6812,0.3002,ZTF-g
59140.3457,18.6154,0.0583,ZTF-i
59142.3375,18.7277,0.0637,ZTF-i
59143.2914,18.6646,0.0606,ZTF-i
59144.3111,18.6618,0.0605,ZTF-i
59144.3293,21.8159,0.3136,ZTF-g
59151.2416,19.8121,0.1427,ZTF-r
59153.3262,19.8372,0.1454,ZTF-r
59155.2398,19.6442,0.1260,ZTF-r
59157.3266,19.7207,0.1334,ZTF-r
59164.3097,19.9605,0.1589,ZTF-r
59165.2705,18.7106,0.0628,ZTF-i
59172.1612,19.7315,0.1345,ZTF-r
59182.1217,19.7589,0.1372,ZTF-r
59184.2844,19.6896,0.1303,ZTF-r
59184.3233,18.8455,0.1229,ZTF-i
59188.2476,19.7351,0.1348,ZTF-r
59195.1759,21.7174,0.3038,ZTF-g
59195.2186,19.7228,0.1336,ZTF-r
59199.1355,19.7500,0.1363,ZTF-r
59202.1380,19.6704,0.1285,ZTF-r
59204.1785,19.7874,0.1402,ZTF-r
59210.6986,17.6424,0.0563,NEOWISE-W2
59210.6996,17.2386,0.0219,NEOWISE-W1
59211.1796,18.7908,0.1194,ZTF-i
59216.1183,19.6520,0.1267,ZTF-r
59218.1197,21.4325,0.2756,ZTF-g
59218.1638,19.7259,0.0947,ZTF-r
59219.1776,19.6810,0.1295,ZTF-r
59220.1152,19.6580,0.0900,ZTF-r
59223.1150,19.7785,0.1392,ZTF-r
59224.1120,19.5808,0.1201,ZTF-r
59226.1155,19.8545,0.1472,ZTF-r
59229.1156,19.6549,0.1270,ZTF-r
59230.1204,19.6355,0.1252,ZTF-r
59250.1582,19.5582,0.1181,ZTF-r
